station_id,station_name,department_id,altitude,latitude,longitude,city
10070001,CELLES-SUR-OURCE,10,275,48.0675,4.411333,CELLES-SUR-OURCE
10099002,CHESSY-LES-PRES_SAPC,10,119,48.0255,3.915,CHESSY-LES-PRES
10119001,CUNFIN_SAPC,10,315,48.0365,4.6785,CUNFIN
10130001,DOSNON,10,115,48.609167,4.224667,DOSNON
10166002,GRANDES-CHAPELL,10,111,48.468167,4.016833,LES GRANDES-CHAPELLES
10228002,MATHAUX-ETAPE,10,145,48.353167,4.472333,MATHAUX
10238001,MESNIL-ST-PERE,10,142,48.244833,4.322167,MESNIL-SAINT-PERE
10241001,METZ-ROBERT_SAPC,10,140,48.0745,4.101167,METZ-ROBERT
10261001,MUSSY-SUR-SEINE,10,193,47.983833,4.495833,MUSSY-SUR-SEINE
10323001,ROMILLY,10,77,48.503333,3.7495,ROMILLY-SUR-SEINE
10350001,ST-MARDS,10,227,48.169833,3.789,SAINT-MARDS-EN-OTHE
10360001,ST-POUANGE,10,122,48.238833,4.049833,SAINT-LEGER-PRES-TROYES
10372001,SOULAINES,10,138,48.399333,4.671333,SOULAINES-DHUYS
10401001,VENDEUVRE-SUR-B,10,180,48.233,4.463,VENDEUVRE-SUR-BARSE
10419001,VILLEMOYENNE,10,134,48.1785,4.233833,VILLEMOYENNE
11004001,ALAIGNE,11,293,43.1125,2.098333,ALAIGNE
11012001,ARGELIERS,11,31,43.308167,2.911667,ARGELIERS
11015001,ARQUES,11,350,42.951833,2.374833,ARQUES
11016003,ARQUETTES-EN-VAL,11,240,43.100833,2.503333,ARQUETTES-EN-VAL
11028001,BELCAIRE,11,980,42.8195,1.968167,BELCAIRE
11069001,CARCASSONNE,11,128,43.215333,2.2955,CARCASSONNE
11076001,CASTELNAUDARY,11,160,43.305333,1.949167,CASTELNAUDARY
11081003,CAUNES-MINERVOIS,11,371,43.334333,2.481,CAUNES-MINERVOIS
11124003,DURBAN-CORBIERES,11,120,42.993167,2.819167,DURBAN-CORBIERES
11136001,FANJEAUX_SAPC,11,182,43.202,2.07,FANJEAUX
11144001,FITOU,11,9,42.894667,2.995833,FITOU
